Firm.Name,Sum_Assts_Wted,Sum_Assets,Fee_Wted
Commonwealth Intl Series Tr,139350883.32083333,55776717.91666667,2.4983700821018338
Community Capital Management,1751846138.1158333,2024275942.0833333,0.8654186426346983
Community Development Fund,33486433.5,48404540.36363637,0.6918035632284713
Concorde,33337438.4,23696389.916666668,1.4068572688598602
Conductor,114163408.75333335,103815836.58333333,1.0996723863193452
Conestoga Capital Advisors,1230257063.6000001,2227587725.3333335,0.5522822062668289
Congress,976870245.2724999,1401283118.4166667,0.6971255361844949
Convergence,337576975.0233334,176263465.91666666,1.9151840301547916
Cook & Bynum,221065634.8958333,143653713.16666666,1.5388786688677762
Copeland Funds,305212825.82007575,192525121.16666666,1.5853142902627066
Copley,319109031.63166666,95557885.91666667,3.3394316813366154
CornerCap,195415333.20000002,195083313.5,1.0017019379773864
Cornerstone,1332105967.8866668,1548146599.6666665,0.8604520839134254
Counterpoint Mutual Funds,669550465.8566667,440681271.1904762,1.5193531235124038
Cove Street Capital,166465785.51,141732657,1.1745055023557485
Covered Bridge,87603062.08333334,73154258.75,1.197511444722736
Crawford,227405047.875,277603137.9166667,0.8191731894012827
"Credit Suisse (New York, NY)",6401907698.920834,8143686319.416667,0.7861191416050763
CRM,2732053800.45,1848536297.4166667,1.4779551823072399
CrossingBridge,0,30007363.583333332,0
Crossmark Steward Funds,756642615.3466667,1277287474.9166667,0.5923823964499706
Crow Point,31264923.340833336,36487417.333333336,0.856868631046436
CS McKee,189619473.75,188725955.41666666,1.0047344750824583
Cullen Funds Trust,2186004292.3541665,2455080457.666667,0.8904002659170555
Cushing Funds,42892791.5,53554219.16666667,0.8009227315314387
Cutler,167754647.85833332,153117999.66666666,1.0955906439708605
Dana Investment,139698625.6825,230799395.9469697,0.605281591441419
Davenport,1418387678.6408334,1805346126.5,0.7856596903058375
Davidson Mutual Funds,114928273.97083333,115942195.41666666,0.9912549400829478
Davis Funds,14350798063.129166,14605737951.333334,0.9825452237296305
Day Hagan,215140398.24583334,117721167.33333333,1.8275421754581538
DDJ,6318149.925000001,12156003.666666666,0.5197555132633914
Dean Fund,373393205.0416667,384557456.0833333,0.9709685747472613
Dearborn Partners,320376288.995,206053279.5,1.5548225671166762
Deer Park,578154676.0416666,602975787.6666666,0.9588356412766585
Delaware Funds by Macquarie,55653059238.48726,62114696722.55556,0.8959724859813748
Destinations Funds,7032608284.866,9632140147,0.7301189743440721
Destra,366623983.67583334,229515092.66666666,1.5973850757095747
DF Dent Funds,204123255.8925,231867232,0.8803454206608203
DGHM,87633551.545,88196746.5,0.9936143341183227
DGI,132792838.42500001,215125167,0.6172817447481633
Diamond Hill Funds,16210962610.16,15604843934.25,1.038841700593985
Dimensional Fund Advisors,135036907528.36792,425104495088.65,0.3176557977826316
Direxion Funds,100209156.5525,103762439.66666667,0.96575559397426
Dodge & Cox,108991929971.75,212467066168.1667,0.5129827033309877
Domini,2273242559.6858335,2383412614.9166665,0.9537763396311112
DoubleLine,40053148447.89833,77510879692.66667,0.5167422767837296
Driehaus,6740343801.639667,4177219629.5833335,1.6135957405505148
Dunham Funds,1820977762.0491667,1238082438.0833333,1.4708049367602771
DuPont,46672622.52833333,32179299.666666668,1.4503927373124206
Dupree,856413486.6308333,1338881672.25,0.639648375492081
DWS,32422523593.734406,35027767229,0.9256234741360084
E-Valuator funds,340172544.81166667,575918076.5,0.5906613435004183
Eagle MLP,1162770492.7108333,738077678.65,1.5754039531958597
Eaton Vance,82264911838.26201,83806404749.49167,0.9816065023211843
Edgar Lomax,57560454.175,84622892.16666667,0.6801995618589045
Edgewood,9733922894.666666,13182047512.25,0.7384226832456027
